#q[1/A]     |F(q)|[e/A^2]
      0.4086755            0.9842282
      0.4096920            0.9907406
      0.4107080            0.9969333
      0.4117240             1.002808
      0.4127400             1.008363
      0.4137570             1.013602
      0.4147730             1.018514
      0.4157890             1.023103
      0.4168050             1.027368
      0.4178215             1.031311
      0.4188380             1.034929
      0.4198540             1.038220
      0.4208700             1.041186
      0.4218860             1.043827
      0.4229030             1.046147
      0.4239190             1.048140
      0.4249350             1.049810
      0.4259510             1.051158
      0.4269675             1.052185
      0.4279840             1.052892
      0.4290000             1.053280
      0.4300160             1.053351
      0.4310325             1.053107
      0.4320490             1.052549
      0.4330650             1.051680
      0.4340810             1.050502
      0.4350970             1.049017
      0.4361140             1.047226
      0.4371300             1.045136
      0.4381460             1.042746
      0.4391620             1.040061
      0.4401785             1.037082
      0.4411950             1.033813
      0.4422110             1.030259
      0.4432270             1.026423
      0.4442430             1.022308
      0.4452600             1.017913
      0.4462760             1.013251
      0.4472920             1.008322
      0.4483080             1.003130
      0.4493245            0.9976755
      0.4503410            0.9919665
      0.4513570            0.9860097
      0.4523730            0.9798075
      0.4533890            0.9733639
      0.4544060            0.9666775
      0.4554220            0.9597658
      0.4564380            0.9526278
      0.4574540            0.9452682
      0.4584710            0.9376841
      0.4594870            0.9298961
      0.4605030            0.9219018
      0.4615190            0.9137066
      0.4625355            0.9053120
      0.4635520            0.8967270
      0.4645680            0.8879614
      0.4655840            0.8790165
      0.4666000            0.8698983
      0.4676170            0.8606029
      0.4686330            0.8511549
      0.4696490            0.8415499
      0.4706650            0.8317941
      0.4716815            0.8218887
      0.4726980            0.8118436
      0.4737140            0.8016710
      0.4747300            0.7913700
      0.4757460            0.7809484
      0.4767630            0.7704002
      0.4777790            0.7597528
      0.4787950            0.7490022
      0.4798110            0.7381527
      0.4808275            0.7272069
      0.4818440            0.7161748
      0.4828600            0.7050678
      0.4838760            0.6938874
      0.4848925            0.6826329
      0.4859090            0.6713158
      0.4869250            0.6599478
      0.4879410            0.6485295
      0.4889570            0.6370668
      0.4899740            0.6255535
      0.4909900            0.6140183
      0.4920060            0.6024558
      0.4930220            0.5908716
      0.4940385            0.5792660
      0.4950550            0.5676498
      0.4960710            0.5560344
      0.4970870            0.5444196
      0.4981030            0.5328112
      0.4991200            0.5212033
      0.5001360            0.5096230
      0.5011520            0.4980661
      0.5021679            0.4865376
      0.5031846            0.4750320
      0.5042010            0.4635689
      0.5052170            0.4521522
      0.5062330            0.4407844
      0.5072490            0.4294690
      0.5082660            0.4182007
      0.5092820            0.4070055
      0.5102980            0.3958771
      0.5113140            0.3848215
      0.5123310            0.3738307
      0.5133470            0.3629313
      0.5143631            0.3521169
      0.5153790            0.3413933
      0.5163955            0.3307575
      0.5174119            0.3202202
      0.5184280            0.3097874
      0.5194440            0.2994618
      0.5204600            0.2892454
      0.5214770            0.2791324
      0.5224930            0.2691459
      0.5235090            0.2592792
      0.5245250            0.2495370
      0.5255415            0.2399169
      0.5265580            0.2304270
      0.5275740            0.2210751
      0.5285900            0.2118592
      0.5296060            0.2027834
      0.5306230            0.1938407
      0.5316390            0.1850519
      0.5326550            0.1764100
      0.5336710            0.1679181
      0.5346875            0.1595747
      0.5357040            0.1513863
      0.5367200            0.1433586
      0.5377360            0.1354895
      0.5387526            0.1277768
      0.5397690            0.1202285
      0.5407850            0.1128477
      0.5418010            0.1056333
      0.5428170           0.09858651
      0.5438340           0.09170169
      0.5448500           0.08499411
      0.5458660           0.07845827
      0.5468820           0.07209577
      0.5478985           0.06590372
      0.5489150           0.05988656
      0.5499310           0.05404812
      0.5509470           0.04838492
      0.5519630           0.04289988
      0.5529799           0.03758590
      0.5539960           0.03245612
      0.5550120           0.02750273
      0.5560280           0.02272884
      0.5570445           0.01813009
      0.5580610           0.01371131
      0.5590770          0.009471009
      0.5600930          0.005412947
      0.5611090          0.001516575
      0.5621260          0.002190890
      0.5631420          0.005709641
      0.5641580          0.009060905
      0.5651740           0.01223928
      0.5661910           0.01524139
      0.5672070           0.01806931
      0.5682230           0.02072438
      0.5692390           0.02320560
      0.5702555           0.02551666
      0.5712720           0.02765683
      0.5722880           0.02962938
      0.5733040           0.03143247
      0.5743200           0.03306962
      0.5753370           0.03454273
      0.5763530           0.03585248
      0.5773690           0.03700000
      0.5783850           0.03798816
      0.5794015           0.03881752
      0.5804180           0.03949177
      0.5814340           0.04001000
      0.5824500           0.04037574
      0.5834661           0.04059064
      0.5844830           0.04065833
      0.5854990           0.04057832
      0.5865149           0.04035468
      0.5875310           0.03998875
      0.5885475           0.03948291
      0.5895640           0.03883941
      0.5905800           0.03806048
      0.5915960           0.03714970
      0.5926125           0.03610817
      0.5936290           0.03493852
      0.5946450           0.03364372
      0.5956610           0.03222732
      0.5966770           0.03069039
      0.5976940           0.02903446
      0.5987101           0.02726536
      0.5997260           0.02538504
      0.6007420           0.02339658
      0.6017585           0.02129789
      0.6027750           0.01909712
      0.6037910           0.01679583
      0.6048070           0.01439792
      0.6058230           0.01190378
      0.6068400          0.009316652
      0.6078560          0.006640783
      0.6088720          0.003885872
      0.6098880          0.001048809
      0.6109045          0.001897367
      0.6119210          0.004898980
      0.6129370          0.007974961
      0.6139530           0.01112205
      0.6149690           0.01434224
      0.6159860           0.01762952
      0.6170020           0.02097618
      0.6180180           0.02438442
      0.6190341           0.02784780
      0.6200510           0.03136877
      0.6210670           0.03493709
      0.6220829           0.03855386
      0.6230990           0.04221730
      0.6241155           0.04592385
      0.6251320           0.04966890
      0.6261480           0.05344998
      0.6271640           0.05726430
      0.6281800           0.06110892
      0.6291970           0.06498538
      0.6302130           0.06888323
      0.6312290           0.07280385
      0.6322450           0.07674438
      0.6332614           0.08070254
      0.6342781           0.08467644
      0.6352940           0.08865890
      0.6363100           0.09265042
      0.6373260           0.09664781
      0.6383430            0.1006534
      0.6393590            0.1046556
      0.6403750            0.1086563
      0.6413910            0.1126530
      0.6424075            0.1166456
      0.6434240            0.1206292
      0.6444400            0.1245994
      0.6454560            0.1285558
      0.6464725            0.1324987
      0.6474890            0.1364229
      0.6485050            0.1403250
      0.6495210            0.1442040
      0.6505370            0.1480588
      0.6515540            0.1518901
      0.6525700            0.1556888
      0.6535860            0.1594563
      0.6546021            0.1631913
      0.6556185            0.1668922
      0.6566350            0.1705570
      0.6576509            0.1741809
      0.6586670            0.1777653
      0.6596830            0.1813066
      0.6607000            0.1848080
      0.6617160            0.1882599
      0.6627320            0.1916651
      0.6637480            0.1950215
      0.6647645            0.1983290
      0.6657810            0.2015852
      0.6667970            0.2047865
      0.6678130            0.2079336
      0.6688290            0.2110249
      0.6698461            0.2140624
      0.6708620            0.2170380
      0.6718780            0.2199545
      0.6728940            0.2228109
      0.6739110            0.2256083
      0.6749270            0.2283403
      0.6759430            0.2310091
      0.6769590            0.2336134
      0.6779755            0.2361536
      0.6789920            0.2386275
      0.6800080            0.2410336
      0.6810240            0.2433724
      0.6820400            0.2456426
      0.6830570            0.2478465
      0.6840730            0.2499786
      0.6850890            0.2520409
      0.6861050            0.2540329
      0.6871215            0.2559551
      0.6881380            0.2578059
      0.6891540            0.2595845
      0.6901700            0.2612912
      0.6911860            0.2629262
      0.6922030            0.2644903
      0.6932189            0.2659802
      0.6942350            0.2673984
      0.6952510            0.2687438
      0.6962675            0.2700174
      0.6972840            0.2712184
      0.6983000            0.2723465
      0.6993160            0.2734023
