Atom_name  Hydrogen	OP	      STD	   STDmean
       	      HS    -0.17572	   0.03261	   0.00146
       	     AVG    -0.17585	   0.03286	   0.00104

    C45	      HR    -0.16392	   0.03196	   0.00143
       	      HS    -0.16402	   0.03210	   0.00144
       	     AVG    -0.16397	   0.03203	   0.00101

    C46	      HR    -0.14548	   0.02961	   0.00132
       	      HS    -0.14575	   0.02891	   0.00129
       	     AVG    -0.14562	   0.02926	   0.00093

    C47	      HR    -0.13119	   0.02698	   0.00121
       	      HS    -0.13100	   0.02688	   0.00120
       	     AVG    -0.13110	   0.02693	   0.00085

    C48	      HR    -0.10862	   0.02222	   0.00099
       	      HS    -0.10799	   0.02197	   0.00098
       	     AVG    -0.10830	   0.02210	   0.00070

    C49	      HR    -0.08648	   0.01799	   0.00080
       	      HS    -0.08582	   0.01826	   0.00082
       	     AVG    -0.08615	   0.01813	   0.00057

    C50	      HR     0.10806	   0.03331	   0.00149
       	      HS    -0.08682	   0.01812	   0.00081
       	      HT    -0.08616	   0.01840	   0.00082
       	     AVG    -0.02164	   0.09489	   0.00245

